latitude,longitude,altitude,geometry,name,address1,address2,city,state,zip
42.297502,-71.396973,,Point,ALFRED F. DESCENZA & SON,92 WORCESTER ROAD,,FRAMINGHAM,MA,1702
42.179619,-70.910607,,Point,ALFRED F. DESCENZA & SON,114 DERBY ST.,,HINGHAM,MA,2043
42.542548,-70.940702,,Point,ALFRED F. DESCENZA & SON,161 ANDOVER STREET,,PEABODY,MA,1960
41.680633,-69.957895,,Point,CHATHAM JEWELERS,532 MAIN ST,,CHATHAM,MA,2633
42.931903,-72.278616,,Point,MON AMIE FINE JEWELRY,87 MAIN STREET,,KEENE,NH,3431
41.455236,-70.602617,,Point,C.B. STARK JEWELERS,53A MAIN ST.,,VINEYARD HAVEN,MA,2568
44.549844,-69.630145,,Point,DAYS JEWELERS,88 MAIN STREET. STE. 101,,WATERVILLE,ME,4901
44.840122,-68.746569,,Point,DAYS JEWELERS,930 STILLWATER,,BANGOR,ME,4401
43.634363,-70.329526,,Point,DAYS JEWELERS,415 PHILBROOK,,SOUTH PORTLAND,ME,4106
41.788301,-69.991652,,Point,STEPHEN GALLANT,34 MAIN STREET,,ORLEANS,MA,2653
42.483597,-71.219948,,Point,LONG'S FINE JEWELERS,60-A SOUTH AVENUE,,BURLINGTON,MA,1803
41.722099,-72.762714,,Point,SIDNEY THOMAS JEWELERS,64 WESTFARMS MALL,,FARMINGTON,CT,6032
40.917757,-74.076522,,Point,SIDNEY THOMAS JEWELERS,2105 GARDEN STATE PLAZA,,PARAMUS,NJ,7652
40.740874,-74.364246,,Point,SIDNEY THOMAS JEWELERS,1200 MORRIS TURNPIKE,,SHORT HILLS,NJ,7078
41.727498,-71.475668,,Point,ROSS-SIMONS,136 ROUTE 5,,WARWICK,RI,2886
41.686057,-69.968108,,Point,EAST WIND SILVER COMPANY,878 MAIN STREET,,CHATHAM,MA,2633
41.749684,-70.628139,,Point,A.J. MARKS JEWELERS,3203 CRANBERRY HGWY,,E WAREHAM,MA,2538
42.295996,-71.292875,,Point,ANDERSONS JEWELERS,21 GROVE ST,,WELLESLEY,MA,2482
42.881306,-70.868062,,Point,ARAM ZEMANIAN,255 LAFAYETTE RD,,SEABROOK,NH,3874
41.87399,-72.688194,,Point,ASHLEY'S JEWELERS,555 DAY HILL RD,,WINDSOR,CT,6095
41.635136,-70.922529,,Point,BEJEWELED,26 CENTRE ST,,NEW BEDFORD,MA,2740
43.001697,-71.464861,,Point,BELLMAN JEWELERS,1650 ELM ST,,MANCHESTER,NH,3104
41.406726,-72.844763,,Point,CAROL'S CREATIONS,344 WASHINGTON AVE,,NORTH HAVEN,CT,6473
